,text,label
0,there is no relation at all between fortier and profiler but the fact that both are police series about violent crimes profiler looks crispy fortier looks classic profiler plots are quite simple fortiers plot are far more complicated fortier looks more like prime suspect if we have to spot similarities the main character is weak and weirdo but have clairvoyance people like to compare to judge to evaluate how about just enjoying funny thing too people writing fortier looks american but on the other hand arguing they prefer american series  maybe it is the language or the spirit but i think this series is more english than american by the way the actors are really good and funny the acting is not superficial at all,1
1,this movie is a great the plot is very true to the book which is a classic written by mark twain the movie starts of with a scene where hank sings a song with a bunch of kids called when you stub your toe on the moon it reminds me of sinatras song high hopes it is fun and inspirational the music is great throughout and my favorite song is sung by the king hank bing crosby and sir saggy sagamore overall a great family movie or even a great date movie this is a movie you can watch over and over again the princess played by rhonda fleming is gorgeous i love this movie if you liked danny kaye in the court jester then you will definitely like this movie,1
2,george p cosmatos rambo first blood part ii is pure wishfulfillment the united states clearly did not win the war in vietnam they caused damage to this country beyond the imaginable and this movie continues the fairy story of the ohso innocent soldiers the only bad guys were the leaders of the nation who made this war happen the character of rambo is perfect to notice this he is extremely patriotic bemoans that usamericans did not appreciate and celebrate the achievements of the single soldier but has nothing but distrust for leading officers and politicians like every film that defends the war eg we were soldiers also this one avoids the need to give a comprehensible reason for the engagement in south asia and for that matter also the reason for every single usamerican soldier that was there instead rambo gets to take revenge for the wounds of a whole nation it would have been better to work on how to deal with the memories rather than suppressing them do we get to win this time yes you do,0
3,in the process of trying to establish the audiences empathy with jake roedel tobey maguire the filmmakers slander the north and the jayhawkers missouri never withdrew from the union and the union army was not an invading force the southerners fought for states rights the right to own slaves elect crooked legislatures and judges and employ a political spoils system there is nothing noble in that the missourians could have easily traveled east and joined the confederate armyit seems to me that the story has nothing to do with ambiguity when jake leaves the bushwhackers it is not because he saw error in his way he certainly does not give himself over to the virtue of the because of abolition,1
4,yeh i know  you are quivering with excitement well the secret lives of dentists will not upset your expectations it is solidly made but essentially unimaginative truthful but dull it concerns the story of a married couple who happen to be dentists and who share the same practice already a recipe for trouble if it was not for our separate worklives we would all ditch our spouses out of sheer irritation campbell scott whose mustache and demeanor do not recall everyman so much as ned flanders from the simpsons is the mildmannered uberdad husband and hope davis is the boredstiff housewife who channels her frustrations into amateur opera one night as dad  the daughters attend one of davis performances he discovers that his wife is channeling her frustrations into more than just singing he witnesses his wife kissing and flirting with the director of opera one nice touch we never see the operadirectors face dreading the prospect of instituting the proceedings for separation divorce and custody hearings  profitable only to the lawyers  scott chooses to pretend ignorance of his wifes indiscretionsalready the literate among you are starting to yawn hohum another story about the pathetic sniveling little cuckold but rudolph who took the story from a jane smiley novella hopes that the wellwornness of the material will be compensated for by a series of flashy postmodern touches for instance one of scotts belligerent patients denis leary kept relatively  and blessedly  in check will later become a sort of construction of the dentists imagination emerging as a devilontheshoulder advocate for the oldfashioned masculine virtues dump the bh etc when not eggedon by his imaginary new buddy scott is otherwise tormented by fantasies that include his wife engaged in a threeway with two of the male dentalassistants who work in their practice it is not going too far to say that this movie is eyes wide shut for real people or grownups at least along those lines campbell scott and hope davis are certainly recognizable human beings as compared to the glamourpuss pair of cruise and kidman further the script for secret lives is clearly more relevant than kubricks as proof i offer the depiction of the dentists children particularly the youngest one who is about three or four years old and whose main utterance is dad dad dad dad dad dad this is family life all right with all its charmsthe movie would make an interesting doublebill with kramer vs kramer as well one can easily trace the feminization of the american male from one thousand nine hundred and seventynine to two thousand and three in this movie dad is the housewife as in kramer but he is in no way flustered by the domestic role unlike dustin hoffman who was too manly to make toast here scott gets all the plumb chores such as wiping up the childrens vomit cooking cleaning taking the kids to whatever inane afterschool activity is on the docket and all without complaint and without directorial commentary it is just taken for grantedthe film has virtues mostly having to do with verisimilitude however it is dragged down from greatness by its insistence on trendy distractions which culminate in a long scene where a horrible fiveday stomach flu makes the rounds in the household we must endure pointless fantasy sequences initiated by the imaginary ringleader leary whose existence by the way is finally reminiscent of the brad pitt character in fight club and this finally drives home the films other big flaw lack of originality in this review i realize it is been far too easy to reference many other films granted this film is an improvement on most of them but still the secret lives of dentists is worth seeing but do not get too excited about it not that you were all that excited anyway i guess,0
5,while this movies style is not as understated and realistic as a sound version probably would have been this is still a very good film in fact it was seen as an excellent film in its day as it was nominated for the first best picture oscar losing to wings i still consider wings to be a superior film but this one is excellent despite a little bit of overacting by the lead emil janningsjannings is a general from czarist russia who is living out his final days making a few bucks in the one thousand nine hundred and twentys by being a hollywood extra his luck appears to have changed as he gets a casting callto play an imperial russian general fighting against the communists during the revolution naturally this is not much of a stretch actingwise but it also gets the old man to thinking about the old days and the revolutionexactly what happens next i will leave to you but it is a pretty good filmparticularly at the end by the way look for william powell as the russian director despite being made in one thousand nine hundred and twentyeight with the makeup he does not look much younger than he did in many of his later films,1
6,i give this movie seven out of ten because the villains were interesting in their roles and the unknown batwoman creates an interesting guess who game the movie however needs more robin in it he appeared in the movie in the beginning and sporadically throughout the rest i always thought the new animated series did little justice to the neat new robin character let alone knightwing this movie just continues that bad tradition the movie spends too much time on bruce wayne and his romance which would not be so bad in one movie if the romance was not so unbelievable it is still a good movie if you are a batman fan and i would recommend watching it,1
7,really awful lead actor did ok the film plot etc was completely crap and inaccurate it may as well have been a sequel to well anything it had little or no relevance to carlitos way and should be avoided like the plague by any carlitos ways fans no mention of gail in fact he ends up with some other bird no mention of klienfelt no mention of how he got caught no mention of how he ended up in jail they attempted to make it like the original with flash backs at the beginning but to be honest when rating it i was looking for a zero mark unfortunately i had to rate it higherits a terrible attempt to cash in on what was one of the best films of the ninetys overall it was approximately £six and two hours of my life wasted for all the action in it it was truly boring slow and predictable again to any carltios way fans avoid this fiasco,0
8,good grief i cannot even begin to describe how poor this film is do not get me wrong i was not expecting much to begin with let us face it a pgthirteen slasher flick is predestined to be missing the ummm slashing so no one should be surprised by the lack of gore but it was the level of incompetence and cliché on display in all the other aspects of this movie is what really blew me away we have a protagonist who is quite simply so completely useless that you find yourself rooting for the bad guy and here is a turnup for the books she never changes  hence breaking the cardinal rule of basic screen writing  character development if you think by the end of this film the poor little girl is going to turn around and finally kick some arse then think again on top of this we are handed possibly the least intriguing and definitely the least scary killer ever to grace the genre i am not joking when i say that dora the explorer has scarier villains than this moviefinally because all the potential for tension or gratuity is removed by the inept and apparently thirteenyearold director what could possibly be left to fill up two hours of screen time closets that is what lots and lots of closets big closets small closets mirrored closets closets to narnia so many damned closets you will not want to dress yourself for another year in fact this movie should have just been called closet and had a picture of a big scary coathanger on the dvd case on the back it could have had a photograph of the audience falling asleep and a quote by roger and ebert  something to the extent of what the f did we just waste our time watching,0
9,home room deals with a columbinelike highschool shooting but rather than hashing over the occurrence itself the film portrays the aftermath and what happened to the survivors their trauma guilt and denialspoilers the shooting itself is treated as a foregone conclusion with no action footage other than the reaction of an almost teenage swat commando after shooting the high school killer the film has three protagonists the detective investigating the crime of which no guilty parties are left to convict and two teenage girls surviving the incident played by a very young erika christensen and busy philippsthe two girls having nothing in common besides the shooting are put together because of it and the drama ensueserika christensen though only twentyfour has been around the block so much that film viewers are pretty much acquainted with her solid and reliable style of acting busy philipps three years older than christensen and altogether unknown to me blew me away with her overwhelming dramatic strength and screen presence this girl was the partit is a great movie and it connects to you with its intimate focus on the fragile yet growing relationship between the two traumatized girls gus van sants elephant two thousand and three though good seems almost superficial and paltry compared to home room when it comes to dramatic flair and acting what i can see this film got very little screen time and exposure  so much more a loss for an equally traumatized americaten out of ten,1
