text,label
"from rrnpocwruedu robert r novitskey
subject cyclone and tempest
articleid usenetonepskavqtu
replyto rrnpocwruedu robert r novitskey
organization case western reserve university cleveland oh usa
lines ten
nntppostinghost thorinscwruedu


could someone please post any info on these systems

thanks
bob
 
 
robert novitskey  pursuing women is similar to banging ones head
rrnpocwruedu    against a wallwith less opportunity for reward 
 
",comp.sys.mac.hardware
"from ardieuxonecsouiucedu ardie mack
subject re does dossix defragment
articleid uxoneardietwo hundred and seventytwoseven hundred and thirtyfour million ninetyseven thousand nine hundred and thirtythree
organization department of plant pathology
lines thirty

in article one thousand nine hundred and ninetythreeaprsixforty thousand two hundred and fiftyfoureight thousand four hundred and fortythreecsbrownedu kslenginonenosubdomainnodomain kiseok lee   writes
from kslenginonenosubdomainnodomain kiseok lee  
subject re does dossix defragment
date tue six apr one thousand nine hundred and ninetythree fourtwofiftyfour gmt
in article  rhcfiftytwo thousand one hundred and thirtyfouruxacsouiucedu richard writes
 geoffrey s elbo writes
 
 yes and it is the fastest defrag i have ever watched  it did a one hundred and seventymb 
 hard disk in twenty minutes
 
 	i found the ms defrag looks very much like norton speedisk
 is it just a stripdown version of the later
 
 	i have both norton speedisk and backup so i was wondering 
 if i need to install ms backup
 
 richard
 

yes defragger is come from norton
if you have norton utility do not bother


     do not bother if you have cpbackup or fastback  they all offer options 
not available in the strippeddown ms version from cps  examples  no 
proprietary format to save space probably no direct dma access and no 
tape drive

     you need ms defrag if you use doublespace to work on the compressed 
volume
",comp.os.ms-windows.misc
"from tsacellarorg the silent assassin
subject for sale  misc ibm stuff
organization the cellar bbs and public access system
lines ten

fivetwentyfive internal low density disk drive

monochrome monitor

eight thousand and eightyeight motherboard built in parallel and serial ports built in mono and
color output sevenmhz

libertarian atheist semianarchal technorat

i define myselftsacellarorg
",misc.forsale
"from guyidacomhpcom guy m trotter
subject re guns in backcountry no thanks
organization idacom a division of hewlettpackard
lines fourteen


hi

in canada any gun that enters a national park must be sealed i think it is a
small metal tag that is placed over the trigger  the net result of this is
that you cant use a gun to protect yourself from bears or psychos in the
national parks  instead one has to be sensitive to the dangers and annoyances
of hiking in bear country and take the appropriate precautions

i think this policy makes the users of the national parks feel a little closer
to nature that they are a part of nature and as such have to deal with
nature on it is own terms

guy
",talk.politics.guns
"from jwodziafadeluucp john wodziak
subject re goalie masks
replyto jwodziafadeluucp john wodziak
organization clemson university engineering department
lines twentyfive

in article one hundred and twenty thousand six hundred and sixtysixnetnewsupennedu kkellermailsasupennedu keith keller writes
my vote goes to john vanbiesbrouck  his mask has a skyline of new york
city and on the sides there are a bunch of bees beezer  it looks
really sharp

does not it also have the statue of liberty on it or is that richters mask

the back actually has a bee followed by a z to represent the beezer it 
also has something that looks like the three interconnecting circles from
the led zepplin four album cover is that what it is supposed to be and if
it is does anybody know why he would put it there ali

    keith keller				let us go rangers
            when i want your opinion i will give it to you 

john
the official language of golf is profanity




in hockey helljwodziaengclemsonedujohn r wodziak
the real black and gold     in memorium seven alan kulwicki one thousand nine hundred and fiftyfourone thousand nine hundred and ninetythree    bean
will triumph over those who a polish yankee mechanical engineer       town
are pretenders to the crownone thousand nine hundred and ninetytwo winston cup champion  a great person rocks
",rec.sport.hockey
"organization penn state university
from 
subject daystar turbo forty opinions
lines six

i am thinking about upgrading my thirty fiftymhz to the forty thirtythreeversion  has anyone
had any experience with the accelerator and if so  what do you think
any problems what are the speedometer results is it much faster than
the fiftymhz  basically i would appreciate hearing all about this product  please
respond via email and i will summarize if there is a big response  thanks
in advance andrew
",comp.sys.mac.hardware
"from kaldisromulusrutgersedu theodore a kaldis
subject re the role of the national news media in inflaming passions
organization rutgers univ new brunswick nj
lines fiftythree

in article  gshsevenwfermiclasvirginiaedu greg hennessy writes

 clayton cramer

 but what came out in much lower profile reporting was that the
 victim was a prostitute and the man had not paid her  hence the
 false accusation

 there was no evidence the woman in question was a prostitute the
 defense merely alledged that she was

the fact that she was wearing a miniskirt with no underwear was
presented as evidence that she was a prostitute and the court
apparently found this compelling

 even clayton knows the difference  err perhaps clayton does not know
 the difference

clayton does indeed know the difference  greg apparently does not

 the judge found that there was some credible evidence that the marines
 were engaged in selfdefense

 no the judge found that the prosecution did not carry out the burder
 on proof

because the judge found that there was some credible evidence that the
marines were engaged in selfdefense  got it knucklehead

 a small clipping from clarinews under fair use guidelines 

    new hanover district court judge jacqueline morrisgoodson ruled in
    the benchtrial that the state failed to carry its burden in proving
    the marines acted to cause injury

because in part repeat after me the judge found that there was
some credible evidence that the marines were engaged in selfdefense
hopefully one of these days you will understand

 interesting that in two of the three cases clayton does what he accuses
 others of doing

with respect to credibility i would rate clayton cramer an order of
magnitude higher than a the news media and b homosexuals

 but i never thought clayton was consistent

clayton is indeed consistent  and so are you
 
  the views expressed herein are     theodore a kaldis
  my own only  do you seriously     kaldisremusrutgersedu
  believe that a major university    rutgersremusrutgersedukaldis
  as this would hold such views 
",talk.politics.misc
"from steerrhoneuucp r william steer
subject x server for nt
organization the internet
lines five
nntppostinghost enterpoopmitedu
to cognacsunpittexpolcsmiteduxpertsunpitteastsuncom

does anybody have an x server for nt that they are willing to share files
or experiences

bill steer
westinghouse
",comp.windows.x
"from sheaffernetcomcom robert sheaffer
subject re astronomy program
organization netcom  online communication services four hundred and eight two hundred and fortyonenine thousand seven hundred and sixty guest
lines twentythree

in article twentyeight thousand six hundred and fortyonegalaxyucredu datadecucrengrucredu kevin marcus writes
are there any public domain or shareware astronomy programs which will
map out the sky at any given time and allow you to locate planets nebulae
and so forth  if so is there any ftp site where i can get one

i posted my publicdomain msdos program sunlightzip to sciastro yesterday
it easily locates the sun moon and planets and can also be used to
locate other objects if you input their right ascesion and declination
use uudecode to extract


 
  
        robert sheaffer  scepticus maximus  sheaffernetcomcom
  
 past chairman the bay area skeptics  for whom i speak only when authorized

         marxism and feminism are one and that one is marxism

                              heidi hartmann and amy bridges
                       quoted by catharine mackinnon above the first chapter
                       of her toward a feminist theory of the state

",sci.space
"from vladnetcomcom vladimir kuznetsov
subject re how many homosexuals are there
organization netcom  online communication services four hundred and eight two hundred and fortyonenine thousand seven hundred and sixty guest
distribution usa
lines twentytwo

in article  kaldisromulusrutgersedu theodore a kaldis writes
perhaps one but most likely not more than two  a new study
discrediting kinsey says so
 

yes i saw today in six of the clock news on kcbs here in san francisco
this statistic quoted 

twotwo men had sex with another man
onethree cinsider themself homosexual

i understand of course that because this statistic goes against
common believe and not pccorrect it must be complete bs

thanks

vlad
 
vladimir kuznetsov                         four hundred and eighttwo hundred and fiftytwofive thousand four hundred and fiftyfive
natural intelligence consulting            vladnetcomcom
                                           seventythree thousand four hundred and thirtyseventhree thousand three hundred and fortyfourcompuservecom
                                           vkuznetsovmcicom
",talk.politics.misc
"from lxrosserccocaltechedu alex rosser
subject re what is  volvo  
articleid gaponepleightysixtinnfvseven
organization california institute of technology pasadena
lines twentyseven
nntppostinghost blackercaltechedu

wolfsonregattaspsmotcom stephen wolfson writes

in article one thousand nine hundred and ninetythreemarthirtyoneone hundred and ninetythree thousand four hundred and sixtwentynine thousand six hundred and twentyfiveugleunitno oepcolargoledbtihno  
oep writes
 which turns into a teenagers car when it gets old the average  
lifelength of
 a volvo in norway is eighteen years and in sweden twenty years

of course someone pointed out when saab or volvo was running their
at least ten years ads that the average milage was significantly
less than than the us average

that my be but every volvo i have ever owned has lasted far longer than most
other cars
one thousand nine hundred and eightyone volvo two hundred and fortyfiveone hundred and twentyfivezero miles still on the road
one thousand nine hundred and eightythree volvo two hundred and fortytwoone hundred and ninetyfivezero miles still on the road
one thousand nine hundred and eightyfour volvo two hundred and fortyfourone hundred and seventyfivezero miles still on the road
and i will admit the dealer repair cost is high but with some mechanical
aptitude of your own and finding a good indi mechanic you can avoid most
breakdowns and make the rest cheapthe sum total of the repairs on the car with
one hundred and ninetyfivezero miles has been two mufflers and a radiator whoa bad repair record 
and all of these cars are driven fairly hard none of them are at the head of
a line of cars going thirty mphthe first two spend a lot of their operating
life with the speedometer peggedand the only reason the eightyfour does not is it has
a one hundred and twenty mph speedo
what i want to know ishave all you people who hate volvos been traumatized
by someone in a seven hundred and fortyfive turbo wagon blowing you away on the road or what
",rec.autos
"from jmuacpubdukeedu joshua mostkoff unger
subject intel fax modem for sale
organization duke university durham nc
lines fifteen
nntppostinghost raphaelacpubdukeedu

i have an intel satisfaxtion modemone hundred internal for sale
it runs at two thousand four hundred baud data mode and up to nine thousand six hundred baud as a class one fax modem
it transmits up to nine thousand six hundred baud vtwentynine and receives up to four thousand eight hundred baud vtwentyseven ter

the modem has all original manuals and comes with software icluding
  intels satisfaxtion and faxability as well as crosstalk communicator

i have used this modem less than an hour  it came with my computer and i
  already had another one

i would like to ask fifty for this modem but will entertain all serious offers

please email to jmuacpubdukeedu

thanks
",misc.forsale
